Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0836207176577605,0.00875481719950126,-0.182578110095897,0,0,0,2.51510979215834,0.0228818124596641,2.21405760466248E-06,-2.41054719117493E-05,0.0160894130168314,2.94271508438121E-06,0.00835275247773462,0,0,0,0,0,0,package://exoskelaton_model/meshes/base_link.STL,0.749019607843137,0.749019607843137,0.749019607843137,1,0,0,0,0,0,0,package://exoskelaton_model/meshes/base_link.STL,,T_Halterung_1-1;HALTERUNG_GEHAUSE__T_1-1;Actuator 5_1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,0.0153146776558093,0.111404710330091,0.114296260770203,0,0,0,1.17713331007803,0.00105476566308545,-3.26125765868855E-05,-2.70339788959849E-05,0.000812425759581038,-2.10674706756821E-05,0.00047305100652016,0,0,0,0,0,0,package://exoskelaton_model/meshes/link_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://exoskelaton_model/meshes/link_1.STL,,Actuator 4_1-1;EXOARM4_1-1,Coordinate System1,Axis1,Joint_1,revolute,-0.15577,0.0088052,-0.26586,-0.00036153,-0.00029771,-3.1416,base_link,0,0,-1,50,3.49,-3.14,3.14,,,,,,,,
link_2,-0.00496835039241067,0.190411287230322,0.0429494949351477,0,0,0,1.1564568649317,0.00105480742109055,-1.9386803606851E-05,2.35097150760546E-08,0.00039565502074065,-2.12809611786772E-06,0.000879686747898402,0,0,0,0,0,0,package://exoskelaton_model/meshes/link_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://exoskelaton_model/meshes/link_2.STL,,Actuator 3_1-1;BaugruppeEXOARM_versch_3_1-1,Coordinate System2,Axis2,joint_2,revolute,-0.022632,0.12204,0.13076,0,-1.5705,-0.13202,link_1,0.00029771,0,-1,50,3.49,-3.14,3.14,,,,,,,,
link_3,0.0106901595599874,-0.187849076653386,0.0440147683742741,0,0,0,1.15620729136863,0.00105334853538916,3.71168408040887E-05,6.93619900038125E-08,0.000396476631382802,-1.6221120369266E-06,0.000879200408282798,0,0,0,0,0,0,package://exoskelaton_model/meshes/link_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://exoskelaton_model/meshes/link_3.STL,,Actuator 2_1-1;BaugruppeEXOARM_versch_3_1-2,Coordinate System3,Axis3,joint_3,revolute,-0.044215,0.20456,0.045987,-1.5711,0,1.5718,link_2,0,0,-1,50,3.49,-3.14,3.14,,,,,,,,
link_4,0.0290248755344674,0.256705797266083,-0.0300791064705878,0,0,0,1.18998095644248,0.001131724448517,-1.47617635425592E-05,2.23841888283616E-07,0.000400491178208117,2.44865971823834E-05,0.00131549575985271,0,0,0,0,0,0,package://exoskelaton_model/meshes/link_4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://exoskelaton_model/meshes/link_4.STL,,Actuator 1_1-1;BaugruppeEXOARM_versch-2_1-1,Coordinate System4,Axis4,joint_4,revolute,-0.030338,-0.20242,0.047,1.5708,0,-1.5573,link_3,0.00029771,0,-1,50,3.49,-3.14,3.14,,,,,,,,
link_5,0.000365565642952426,-0.118263327442036,-0.00780701979346371,0,0,0,0.0735548882880893,0.00021047278121316,6.34344454296749E-07,-2.33211325455361E-09,4.44068514792429E-06,1.38406228686523E-06,0.00021197378816584,0,0,0,0,0,0,package://exoskelaton_model/meshes/link_5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://exoskelaton_model/meshes/link_5.STL,,BaugruppeEXOARM_versch-1_1-1,Coordinate System5,Axis5,joint_5,revolute,0.031472,0.2761,0.010009,-0.00029771,0,1.5754,link_4,0,0,-1,50,3.49,-3.14,3.14,,,,,,,,
palm,0.00398178507403143,8.10912535103292E-05,0.0640495520207742,0,0,0,0.111751758328988,6.59202525142851E-05,-1.22829107034955E-07,1.81754919948642E-05,9.3013080838165E-05,2.30342036318053E-07,3.38720512333921E-05,0,0,0,0,0,0,package://hand_model/meshes/palm.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hand_model/meshes/palm.STL,,rotawirst3v2-1;kama3-1;WristlargeV4-1;WristsmallV32-1;WristsmallV31-1;kama1-1,Coordinate System16,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
thumb_link_1,0.000480535490973766,0.0145868596829117,0.002112956638099,0,0,0,0.0113562962089711,1.13781700766449E-06,-3.17874553723836E-09,1.02179230912118E-08,9.83244760493048E-07,7.32596805137895E-08,7.56438518318171E-07,0,0,0,0,0,0,package://hand_model/meshes/thumb_link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hand_model/meshes/thumb_link_1.STL,,Thump-1;Thump montaj-1/Thump1-1,Coordinate System1,Axis1,thumb_joint_1,revolute,-0.030154,-2.0111E-05,0.05991,-0.083072,0,1.5708,palm,0,0,1,15,137,-2,2,,,,,,,,
thumb_link_2,-0.00303085130066873,0.017257431665413,-0.000249993554026592,0,0,0,0.00578743285449284,3.72260695118556E-07,6.77304435528928E-09,6.94275441710355E-13,3.36039703432571E-07,5.44710417598588E-13,2.90221029790483E-07,0,0,0,0,0,0,package://hand_model/meshes/thumb_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hand_model/meshes/thumb_link_2.STL,,Thump montaj-1/Thump3-1;Thump montaj-1/Thump4-1,Coordinate System2,Axis2,thumb_joint_2,revolute,-0.002073,0.032273,0.012004,0.82045,0.054788,-0.71905,thumb_link_1,0,0,1,15,137,-2,2,,,,,,,,
thumb_link_3,-0.00349327848726758,0.0128547260693688,-9.39948939422675E-06,0,0,0,0.00408620369773343,1.85582766063067E-07,-8.83579093640966E-09,-1.32434624542555E-10,1.61808260214828E-07,-5.23413946701733E-11,1.9595038842159E-07,0,0,0,0,0,0,package://hand_model/meshes/thumb_link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hand_model/meshes/thumb_link_3.STL,,Thump montaj-1/Thump5-1;Thump montaj-1/Thump6-1,Coordinate System3,Axis3,thumb_joint_3,revolute,-0.007204,0.027206,-0.00025,0,0,0,thumb_link_2,0,0,1,15,137,-2,2,,,,,,,,
